1,2,3,,,,,,,,kg/m3,%,,%,mg/L,KJ/kg,%,工业分析（单位%，总和=1）,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要成分（%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金属元素含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,酯类,,,,,,,,,,邻苯二甲酸酯类,,,,,,,,,,,,,,,,,芳香烃类,,,,,,,,,,,氯代烃,,酚类,,,,醛类,,有机酸类,,,,,,,有机酸盐类,,,,杂环,,,,,,胺类,,,,,,,,,,,,,,,农药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,重金属毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,,
废物类别,行业分类,固废名称 ,别名,产生工段,表观形貌（稍微详细）,物理形态,形状,颜色,气味,密度,含水率,pH,含油率,COD,热值,烧失率,水分,灰分,挥发分,固定碳,C,H,N,O,F,Na,Mg,Al,"Si	",P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,"Cu	",Zn,As,Pb,Ag,Bi,Cd,Sn,Sb,I,Hg,Ba,Al2O3,MgO,Cl,K2O,Na2O,Fe2O3,SiO2,MnO,CaO,S,SO3,As2O3,TiO2,Cr2O3,CuO,ZnO,PbO,F,V2O5,BaO,P2O5,SnO2,NiO,NaCl（%）,KCl,MgCl2,Mg(OH)2,Al(OH)3,AlCl3,MnCl2,NH4Cl（%）,TiCl4,FeCl2,FeCl3,CaCl2,CaF2,CaSO4,CaCO3,BaO,BaSO4,BaCO3,BaSiO3,BaS,NaNO3,辉铜矿,黄铜矿,铜铁硫化相,铁橄榄石,磁铁矿,钙铁辉石,玻璃相,石膏,方解石,石英,砷铜矿,皓矾,六水锌矾,氧化锑,三氧化二砷,五氧化二砷,铅绿矾,方铅矿,铅黄,铅,密陀僧,红锌矿,闪锌矿,锌,纤锌矿,冰晶石,刚玉,β-氧化铝,钾冰晶石,铝,锥冰晶石,西蒙冰晶石,氟铝钙锂石,白砷石,三水胆矾,副雄黄,砷华,铅矾,块黑铅矿,四水锌矾,硒汞矿,尖晶石,氮化铝,方镁石,铜靛矾,CuSO4•H2O,CdSO3•0.5H2O,石盐,氟氯铅矿,铁白云石,钙铝矾,氯铅矿,T B(mg/kg),T Na(mg/kg),T Mg(mg/kg),T Al(mg/kg),T K(mg/kg),T Ca(mg/kg),T Fe,T Cu,T Pb,T Zn,T Sn,T Ni,T Co,T Sb,T Hg,T Cd,T Bi,T Cr（mg/kg）,T As,T Be,T Ba,T Pd,T Pt,T V,T Mn,T Ti,T Al3+ （mg/L）,T SO42- （g/L),CN（mg/L),F（mg/L),萘,苊烯,苊,芴,菲,蒽,荧蒽,芘,苯并（a）蒽,屈,苯并（b）荧蒽,苯并 (k)荧蒽,苯并（a）芘,"茚苯（1,2,3-cd）芘"," 二苯并（a, n）蒽",苯并（ghi）北（二萘嵌苯）,乙酸乙酯,乙酸丁酯,乙酸异戊酯,氨基甲酸乙酯,邻甲酸甲酯,邻甲基苯甲酸,丁酸丁酯,N-氰基乙酰亚胺甲酯（乙酯）,4-[3-甲基-3-(（甲亚基氨基)）苯基]丁酸乙酯,氯甲酸甲酯,邻苯二甲酸二甲酯,邻甲基苯甲酸甲酯,邻苯二甲酸二乙酯,邻苯二甲酸二异丁酯,邻苯二甲酸二正丁酯,邻苯二甲酸二(2-甲氧基)乙酯,邻苯二甲酸二(4-甲基-2-戊基)酯,邻苯二甲酸二(2-乙氧基)乙酯,邻苯二甲酸二戊酯,邻苯二甲酸二己酯,邻苯二甲酸丁基苄基酯,邻苯二甲酸二(2-丁氧基)乙酯,邻苯二甲酸二环己酯,邻苯二甲酸二（2-乙基）己酯,邻苯二甲酸二苯酯,邻苯二甲酸二正辛酯,邻苯二甲酸二壬酯,苯,甲苯,乙苯,二甲苯,对二甲苯,间二甲苯,邻二甲苯,异丙苯,苯乙烯,乙烯基甲苯,环己烷,二氯甲烷,二氯乙烷,苯酚,邻甲酚,"2,4-二氯酚（mg/L）","2,5-二氯苯酚（mg/L）",甲醛%,间苯氧基苯甲醛,甲酸%,苯氧乙酸（mg/L）,氯乙酸,羟基乙酸（mg/L),2甲4氯酸,甲酸,甘氨酸,亚磷酸钠,甲基草甘膦酸钠盐,羟甲基磷酸钠盐,"2,4-二氯苯氧乙酸钠（mg/L)",氯甲基吡啶,吡啶,2-氯-5-氯甲基吡啶,三氯吡啶醇钠,乙基氯化物,氯乙酰氯,邻苯二胺,苯肼,脲,1-苯基氨基脲,二甲胺,2-氯烟酰胺,精胺,胺醚,乙撑硫脲,邻甲基苯基硫脲,"2-氯-N-(氯甲基)-N-(2,6-二乙基苯基)乙酰胺（MRM）","N-2,6-二乙基苯基甲亚胺（甲叉）",丁草胺,4-[3-乙基-2-(甲亚基氨基)苯基]丁酰氯,"2,5-二氯苯胺","2,4-D（mg/L）",草甘膦（mg/L),增甘膦mg/L,双甘膦mg/L,西玛津mg/L,三唑磷mg/L,烟嘧磺酰氯mg/L,烟嘧磺胺mg/L,烟嘧磺隆mg/kg,毒死蜱,多菌灵mg/L,氟乐灵,丁草胺mg/L,咪鲜胺,莠去津mg/L,百草枯mg/L,苯磺隆,吡虫啉,咪唑（烷）,丙环唑,代森锰mg/L,敌百虫,啶虫脒,麦草畏,杀虫单,乙草胺,溴丙烷,四氯化碳,丙溴磷,对氯三氟甲苯,功夫酰氯,苄基三乙基氯化铵,二氯菊酰氯,4-甲基-2-肼基苯并骈噻唑,苯唑醇,二甲硫醚,硫酸二甲酯,甲醇,乙醇,辛硫磷,"O,O-二乙基硫代磷酰氯",2-氯烟酰胺,二氯甲烷,醋酸,醋酸酐,丙烯醛,丙烯腈,环戊二烯,L Ca(mg/L),L Mg（mg/L),L Fe (mg/L),L Cu,L Pb,L Zn,L Ba (mg/L),L Sn ,L Co,L Sb,L Hg,L Cd,L Bi,L Ni,L Cr （mg/L),L Ag,L As,L Mn,L Se,L Br,L V
收尘灰,有色冶炼,铅火法冶炼烟化炉收尘烟灰,无,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）熔炼炉、还原炉、烟化炉工段烟气各收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,白色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-8,,,,48-52,,10.5-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89-93,,,,,,,,,,,,,2-6,,,,,,,,,,,,,,,,,,,,,,827.2-831,5055.6-5059,87135.62-87139,,451.4-455,,,,,,1414.17-1418,180.91-184,,47.35-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,锌湿法冶炼原矿焙烧收尘烟灰,无,湿法炼锌（如常规湿法炼锌工艺等）沸腾焙烧工段烟气收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,黄色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89-7,,,,,,,,,,,,,70.36-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63-67,,7-11,6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.58-1007.37,54.03-81.04,35682.63-53523.96,,874.32-1311.49,,,,,,2775.99-4163.99,165.07-247.61,,51.47-77.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,氧化铝生产铝土矿煅烧收尘烟灰,无,氧化铝生产（如拜耳法生产氧化铝工艺及碱石灰烧结法生产氧化铝工艺等）煅烧过程产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,灰褐色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87-56,2.57-5,10.24-14,,4.92-8,,,,3.53-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-12,15-19,6-9,,,,,,,,,,,,,,20-24,8-10,,,,,18-22,,,,,,,,,,,,80.15-84,17.18-21,438.24-442,,305.19-309,,,,,,963.17-967,89.87-93,,58.82-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,铝电解熔铸炉收尘烟灰,无,铝电解生产工艺铸锭工段产生的熔铸炉收尘烟灰,细粉末，无粗颗粒,固态,粉末状,灰褐色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 62.11-64,4.19-8,6-10,1-3.24,,1-3.19,3-5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-16,11-13,,,,,,,,,,,,,,23-27,14-18,,,,,,,,,,,,,,,,,486.65-490,68.05-72 ,518.24-522 ,,392.99-396,,,,,,1850.16-1854,130.08-134,,949.23-953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,再生铝熔铸炉烟灰,无,再生铝冶炼工艺熔铸炉收尘烟灰工段烟气收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,黑色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33-21,,,,,5.37-8,7.15-10,,,,,,,,,,,,,,,,,,,,,,,,7-10,,,,,,,,,,,,,,,,,,,,,,10-13,11-15,,,,,,,,,,,,,,,,,,,,23-27,,,,,,,,,,,,,,26-30,,,,,,,,,,,,,,,,2800-3200,380-420 ,5600-5800,,450-550,,,,,,1500-1600 ,120-130,,1000-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,再生铝冶炼精炼工序烟灰,无,再生铝冶炼生产工艺精炼工序烟气收尘设备产生的精炼烟灰,细粉末，无粗颗粒,固态,粉末状,黑色,,,<2,,,,,,,,,,,,,,,,,,,,,11-13.64,,,,,,,,,,,,,,,,,,,,,,5-7.2,,11-13.64,6.82-8,,,7.66-9,,4.58-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-15,,17-21,,,,,,,,,,,,,9-13,,,,,,30-34,,,,,,,,,,,,5500-5900,650-750,35500-36000,,13000-14000,,,,,,43000-44000,4800-4900,,1550-1650 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,无机盐化工,氯化法生产钛白粉过程中产生的氯化收尘渣,无,氯化法生产钛白粉过程中，原料备料除尘器收尘灰、氯化工序收尘灰、氯化炉渣。,表面粗糙不规则熔融结构,固态,粉末状,灰白色,,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04-18.7,,1.14-6.99,,,16.93-36.87,2.01-6.88,,,,23.04-38.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.334-124,20.668-22,784.115-786,,88.342-90,,,,,,,85.075-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,煤化工,煤气化炉飞灰,无,飞灰是由煤气化反应过程中，未反应物及其冷凝物聚集而成的不规则的细小颗粒物,炉顶飞灰结构比较稀松，部分区域甚至呈絮状,固态,粉末状,灰白色,,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6-42.6,,,,,3.2-15.7,33-56.9,,2.7-19.9,,0.33-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1-15 ,,,,,,0.08-0.9,,,72-89,2-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,煤化工,干熄焦除尘灰,煤焦粉,,,固态,粉末状,灰白色,,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,无机盐化工,硫酸法生产钛白粉冷冻结晶工段产生的七水硫酸亚铁渣,无,硫酸法生产钛白粉钛液冷冻结晶工段产生的废渣,晶体结构,固态,颗粒状,浅蓝绿色,有刺激性气味,,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,无机盐化工,少钙焙烧生产重铬酸钠过程中碱液中和产生的少钙芒硝,无,少钙焙烧生产重铬酸钠过程中，碱性液中和后继续酸化过程中结晶析出的Na2SO4副产物，俗称含铬芒硝,晶体结构,固态,颗粒状,白色,有刺激性气味,,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,无机盐化工,无钙焙烧生产重铬酸钠过程中碱液中和产生的无钙芒硝,无,无钙焙烧生产重铬酸钠过程中，碱性液中和后继续酸化过程中结晶析出的Na2SO4副产物，俗称含铬芒硝,晶体结构,固态,颗粒状,白色,有刺激性气味,,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,"2,4-D母液蒸发废盐",无,"2,4-D母液蒸发结晶过程产生的废盐",颗粒状、针状、棒状等规则形状的晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,0.1-65,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,2甲4氯酸母液蒸发废盐,无,2甲4氯酸母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-153,,,,,,,,,,,,,,,0.1-100,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,百草枯母液蒸发废盐,无,百草枯母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,苯磺隆母液蒸发废盐,无,苯磺隆母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,吡虫啉母液蒸发废盐,无,吡虫啉母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,苄嘧磺隆母液蒸发废盐,无,苄嘧磺隆母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,丙环唑母液蒸发废盐,无,丙环唑母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,丙溴磷母液蒸发废盐,无,丙溴磷母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,草甘膦母液蒸发废盐,无,草甘膦母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,,1.3-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7-1.5,2-4,0.02-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,代森锰锌母液蒸发废盐,无,代森锰锌母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发结晶,农药,敌百虫母液蒸发废盐,无,敌百虫母液蒸发结晶过程产生的废盐,晶体,固态,颗粒状,白色、淡黄色,有刺激性气味,,2-10,,,,,35-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
